system:index,masterid,year,yield_mean,yield_p25,yield_p50,yield_p75,.geo
1_0,0,0,0,0,0,0,
2_0_0000a7335be44385d1aa,19119,2000,9.184222622128575,8.466678479083415,9.34433138948034,10.093546798138949,
2_0_0000ee62cd3301544a9b,19167,2000,9.030528982257769,8.345463944142494,9.155129747293612,9.843389620538936,
2_0_00004b1bc47fe5100be3,19141,2000,9.154577842232142,8.52985534654687,9.281639727358382,9.906652347535312,
2_0_00000a7157cd6c837c00,19143,2000,9.814977275704205,9.344445157452538,10.033104518015021,10.59486584451322,
2_0_00005972d482473476cf,19059,2000,9.504492908234237,8.78219024384603,9.780629333843802,10.40582614767779,
2_0_0000895ec5480001af32,19041,2000,9.72817574289196,9.219046858830364,9.969606116527897,10.532553267480983,
2_0_0000f637e2a91dd04c88,19035,2000,8.81778886135429,8.156745572998373,8.907865680580969,9.530906975765454,
2_0_00009603111ad0aa44ba,19021,2000,9.156902847017907,8.34528446482414,9.34447869848091,10.09318701328141,
2_0_0000c6169e0d914c50af,19161,2000,9.11847382014428,8.529475683855633,9.218195525731215,9.843540600279187,
2_0_000056c0f51bf3c9b8e5,19093,2000,8.752429104954834,8.093819902325107,8.781706460963026,9.469761731341466,
2_0_0000087e5d19d3e6e66a,19193,2000,8.699418205015213,8.093441698039522,8.844831264951344,9.406902803133395,
2_0_0000a3f80e3884b89def,19149,2000,8.52785177994654,7.843343599769563,8.655967620419691,9.344038786997867,
2_0_000088e696c625cb628d,19133,2000,8.640806556023856,7.773602408736634,8.7490224840852,9.23282086372038,
2_0_00007ebc3afee86fb2f7,19085,2000,8.930791033378501,8.156499470261881,8.844792221774126,9.654484219218336,
2_0_00001077d92247108558,19047,2000,9.09475491013342,8.380277144032803,9.125240314993732,9.869660943845226,
2_0_0000b00a625dea9ece3a,19027,2000,8.998863108251994,8.282776162612876,9.218274078701755,9.906575367270074,
2_0_000059595e95ac749991,19165,2000,9.191916328656262,8.562520728031686,9.313032072019023,9.937518255373522,
2_0_0000da3d81cc45a9c8e6,19009,2000,8.698379065616132,7.468005275154666,8.656024665551856,9.90674696164655,
2_0_0000f3b8373ac231aedf,19155,2000,9.580081901189565,8.969056114210552,9.654888077223157,10.280017144776412,
2_0_00007ec277ea624bdab4,19029,2000,8.425699832420987,7.220365949324601,8.093235765987329,9.530959853772519,
2_0_000055324d622f0457c0,19137,2000,8.913825956682333,7.81220882102558,9.06187715026732,10.06132638908562,
2_0_00002d4f3e744583155a,19129,2000,9.399540148137115,8.78202828862775,9.470118891650547,10.093312648852416,
2_0_000075c2c82934504db1,19071,2000,8.925419376001397,8.282182859486193,9.029558476185308,9.654352251956379,
2_0_00006535385e34940593,19145,2000,8.081953448668674,7.09463872027648,7.903790186648581,9.092259994544504,
2_0_0000541ba552dcf0f4e0,17157,2000,7.482548388194876,6.594176921489947,7.658349760806638,8.404903513084491,
2_0_00003c774563357a814d,17133,2000,8.189273142800687,7.404898601123748,8.28246338508003,9.028281294167712,
2_0_0000234491782624f548,17163,2000,8.107858441352013,7.281434560859906,8.34546518933791,9.092981936832693,
2_0_0000aaa9a5b81b09674c,17149,2000,7.912244246975226,7.0314527103007185,7.8432639068346965,8.71855922774887,
2_0_000092894d92424cea2a,17001,2000,9.148391282596627,8.438371864352115,9.186630590703514,9.936596013440829,
2_0_0000600b14f26baf41be,17009,2000,8.114778074564219,7.220044164668207,7.9675283859843935,8.907105724866398,
2_0_00005aa2c56bc8db08f6,17171,2000,8.089905823043821,7.467212700589892,8.093013019692817,8.718456468413661,
2_0_00007683598174f58df3,17061,2000,8.50826479624412,7.530660321183147,8.656046323555138,9.46930578816395,
