state_alpha,fips5,year,crop,nassyield_kg_ha,nassyield_mt_ha,nassyield_bu_acre,short_desc,state_name
IN,18007,2017,corn_grain,12527.688,12.527688,199.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2016,corn_grain,12527.688,12.527688,199.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2015,corn_grain,10647.277,10.647277,169.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2014,corn_grain,12728.936,12.728936,202.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2013,corn_grain,11389.378999999999,11.389379,181.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2012,corn_grain,7351.841,7.351841,116.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2011,corn_grain,10408.295,10.408295,165.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2010,corn_grain,10433.451000000001,10.433451000000002,165.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2009,corn_grain,11634.65,11.63465,185,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2008,corn_grain,11760.43,11.760430000000001,187,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2007,corn_grain,10722.745,10.722745000000002,170.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2006,corn_grain,10515.207999999999,10.515208,167.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2005,corn_grain,10439.74,10.43974,166,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2004,corn_grain,10741.612000000001,10.741612000000002,170.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2003,corn_grain,10320.249,10.320249,164.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2002,corn_grain,10068.689,10.068689000000001,160.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2001,corn_grain,10018.377,10.018377000000001,159.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18007,2000,corn_grain,8760.577000000001,8.760577000000001,139.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2017,corn_grain,11477.425,11.477425,182.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2016,corn_grain,11326.489,11.326489,180.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2015,corn_grain,6182.0869999999995,6.182086999999999,98.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2014,corn_grain,10955.438,10.955438000000001,174.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2013,corn_grain,11313.911,11.313911000000001,179.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2012,corn_grain,9093.894,9.093894,144.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2011,corn_grain,9930.331,9.930331,157.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2010,corn_grain,10219.625,10.219625,162.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2009,corn_grain,10062.4,10.0624,160,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2008,corn_grain,11445.98,11.44598,182,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2007,corn_grain,10754.19,10.754190000000001,171,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2006,corn_grain,9974.354,9.974354,158.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2005,corn_grain,10043.533,10.043533,159.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18073,2004,corn_grain,10999.461000000001,10.999461000000002,174.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
